batch_id,viability_pct
B0001,94.9
B0002,87.7
B0003,87.7
B0004,88.2
B0005,98.5
B0006,92.8
B0007,91.5
B0008,86.2
B0009,88.6
B0010,79.9
B0011,89.6
B0012,91.1
B0013,90.2
B0014,92.1
B0015,90.3
B0016,89.1
B0017,88.2
B0018,90.9
B0019,92.3
B0020,79.0
B0021,90.4
B0022,84.0
B0023,88.7
B0024,87.6
B0025,83.7
B0026,95.3
B0027,92.4
B0028,83.7
B0029,90.8
B0030,98.2
B0031,91.8
B0032,96.3
B0033,96.8
B0034,89.8
B0035,85.0
B0036,97.0
B0037,85.3
B0038,90.0
B0039,88.8
B0040,100.5
B0041,86.5
B0042,91.4
B0043,97.6
B0044,92.7
B0045,92.8
B0046,101.5
B0047,84.7
B0048,83.1
B0049,91.9
B0050,77.6
B0051,86.3
B0052,88.1
B0053,94.1
B0054,82.8
B0055,100.4
B0056,88.1
B0057,82.0
B0058,99.2
B0059,100.3
B0060,92.4
B0061,81.5
B0062,88.6
B0063,93.4
B0064,90.0
B0065,81.9
B0066,96.4
B0067,90.7
B0068,89.3
B0069,85.0
B0070,89.9
B0071,89.2
B0072,91.4
B0073,92.3
B0074,92.9
B0075,83.2
B0076,94.4
B0077,91.4
B0078,88.0
B0079,89.8
B0080,89.3
B0081,95.0
B0082,91.0
B0083,87.1
B0084,98.7
B0085,84.3
B0086,99.0
B0087,93.0
B0088,92.0
B0089,89.4
B0090,91.1
B0091,85.4
B0092,92.6
B0093,84.9
B0094,88.7
B0095,90.0
B0096,93.4
B0097,87.0
B0098,97.9
B0099,77.9
B0100,86.2
B0101,89.6
B0102,90.4
B0103,92.8
B0104,92.9
B0105,92.5
B0106,91.7
B0107,90.2
B0108,81.8
B0109,87.2
B0110,100.3
B0111,87.8
B0112,95.7
B0113,84.6
B0114,93.4
B0115,90.2
B0116,91.0
B0117,87.8
B0118,94.4
B0119,93.2
B0120,90.6
