batch_id,date,component_A,avg_pH,viability_pct,risk_flag,risk_score,gmm_p_failure,gmm_risk_flag,logreg_p_failure,logreg_risk_flag
B0001,2024-06-01,0.72,7.03,94.9,False,0.0,,,,
B0002,2024-06-01,0.68,7.19,87.7,False,0.0,,,,
B0003,2024-06-01,0.74,7.02,87.7,False,0.0,,,,
B0004,2024-06-01,0.68,6.8,88.2,False,0.1500000000000018,,,,
B0005,2024-06-02,0.7,6.79,98.5,False,0.2750000000000008,,,,
B0006,2024-06-02,0.74,6.98,92.8,False,0.0,,,,
B0007,2024-06-02,0.74,6.92,91.5,False,0.1500000000000012,,,,
B0008,2024-06-02,0.68,6.89,86.2,False,0.0,,,,
B0009,2024-06-03,0.7,7.12,88.6,False,0.0,,,,
B0010,2024-06-03,0.68,6.99,79.9,False,0.0,,,,
B0011,2024-06-03,0.7,7.03,89.6,False,0.0,,,,
B0012,2024-06-03,0.74,6.94,91.1,False,0.1,,,,
B0013,2024-06-04,0.72,7.01,90.2,False,0.0,,,,
B0014,2024-06-04,0.7,6.9,92.1,False,0.0,,,,
B0015,2024-06-04,0.68,7.02,90.3,False,0.0,,,,
B0016,2024-06-04,0.7,6.84,89.1,False,0.1500000000000012,,,,
B0017,2024-06-05,0.7,6.91,88.2,False,0.0,,,,
B0018,2024-06-05,0.72,6.84,90.9,True,0.2500000000000013,,,,
B0019,2024-06-05,0.7,6.75,92.3,False,0.3750000000000009,,,,
B0020,2024-06-05,0.68,6.95,79.0,False,0.0,,,,
B0021,2024-06-06,0.68,6.87,90.4,False,0.0,,,,
B0022,2024-06-06,0.72,6.95,84.0,False,0.0,,,,
B0023,2024-06-06,0.68,6.88,88.7,False,0.0,,,,
B0024,2024-06-06,0.74,6.91,87.6,False,0.1750000000000007,,,,
B0025,2024-06-07,0.74,6.77,83.7,True,0.5250000000000021,,,,
B0026,2024-06-07,0.7,6.96,95.3,False,0.0,,,,
B0027,2024-06-07,0.72,6.78,92.4,True,0.4000000000000003,,,,
B0028,2024-06-07,0.74,6.81,83.7,True,0.425000000000002,,,,
B0029,2024-06-08,0.68,6.94,90.8,False,0.0,,,,
B0030,2024-06-08,0.7,6.8,98.2,False,0.2500000000000013,,,,
B0031,2024-06-08,0.74,6.97,91.8,False,0.0250000000000016,,,,
B0032,2024-06-08,0.74,6.87,96.3,True,0.2750000000000008,,,,
B0033,2024-06-09,0.72,6.75,96.8,True,0.475000000000001,,,,
B0034,2024-06-09,0.74,7.04,89.8,False,0.0,,,,
B0035,2024-06-09,0.7,6.88,85.0,False,0.0500000000000011,,,,
B0036,2024-06-09,0.74,6.9,97.0,False,0.2000000000000001,,,,
B0037,2024-06-10,0.7,6.92,85.3,False,0.0,,,,
B0038,2024-06-10,0.74,6.97,90.0,False,0.0250000000000016,,,,
B0039,2024-06-10,0.72,6.72,88.8,True,0.5500000000000016,,,,
B0040,2024-06-10,0.72,7.16,100.5,False,0.0,,,,
B0041,2024-06-11,0.74,6.75,86.5,True,0.5750000000000011,,,,
B0042,2024-06-11,0.7,6.93,91.4,False,0.0,,,,
B0043,2024-06-11,0.7,7.02,97.6,False,0.0,,,,
B0044,2024-06-11,0.72,6.64,92.7,True,0.7500000000000018,,,,
